No.,Airline,Sector,Image,ICAO,IATA,Callsign,AOC issued,Aircraft
1,Buddha Air,Domestic/International,,BHA,U4,BUDDHA AIR,1997,18
2,Guna Airlines[a],Domestic,,GUA,-,-,2009,7
3,Himalaya Airlines,International,,HIM,H9,HIMALAYA,2014,4
4,Nepal Airlines,Domestic/International,,RNA,RA,ROYAL NEPAL,1958,6
5,Saurya Airlines,Domestic,,SAU,S1,-,2014,2
6,Shree Airlines,Domestic,,SHA,N9,SHREE AIR,1999,11
7,Sita Air,Domestic,,STA[b],ST,-,2003,4
8,Summit Air,Domestic,,SMA[c],GG,-,2011,4
9,Tara Air,Domestic,,TRA[d],TB,TARA AIR,2009,3
10,Yeti Airlines,Domestic,,NYT,YT,YETI AIRLINES,1998,7
